,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
88,06936,顺丰控股：2025年中期营收1468.58亿元 归母净利润57.38亿元,中证报中证网讯（记者倪铭娅）8月28日晚间，顺丰控股披露2025年半年度报告。,2025-08-29 12:44:48,中国证券报·中证网,http://finance.eastmoney.com/a/202508293499240280.html
89,06936,A股快递一季度：申通快递16.58%领涨 顺丰控股第二,顺丰控股涨7.00%列第二3月31日，顺丰控股报收43.12元，涨2.57%，换手率0.71%，滚动市盈率21.14，,2025-04-02 08:18:54,上游新闻,http://finance.eastmoney.com/a/202504023362997582.html
90,06936,顺丰控股年内首次A股回购“姗姗来迟” “共同成长”持股计划披露后遭遇3连跌|速读公告,财联社9月3日讯（记者陆婷婷）数月前，顺丰控股（002352.SZ）抛出今年第1期A股回购方案，时至今日，其年内首次回购才姗姗来迟,2025-09-04 00:09:02,财联社,http://finance.eastmoney.com/a/202509043503852178.html
91,06936,顺丰控股：第六届监事会第十四次会议决议公告,证券日报网讯 3月28日晚间，顺丰控股发布公告称，公司第六届监事会第十四次会议审议通过了《公司2024年年度报告》等多项议案,2025-03-28 20:40:08,证券日报,http://finance.eastmoney.com/a/202503283359528264.html
92,06936,顺丰控股：首次回购公司股份118.5万股,顺丰控股公告，2025年9月3日，公司通过股份回购专用证券账户以集中竞价方式首次回购公司A股股份118.5万股，回购总金额为人民币,2025-09-03 19:24:46,每日经济新闻,http://finance.eastmoney.com/a/202509033503694039.html
93,06936,顺丰控股6月营收同比增长13.43% 速运业务量同比增超三成,7月4日，顺丰控股完成7000万股H股配售，募资净额约29.33亿港元；7月10日，顺丰控股完成发行2026年到期的29.5,2025-07-18 20:58:21,上海证券报·中国证券网,http://finance.eastmoney.com/a/202507183461429551.html
94,06936,顺丰控股增资至49.86亿，增幅约3.5%,天眼查工商信息显示，8月28日，顺丰控股发生工商变更，注册资本由约48.16亿人民币增至约49.86亿人民币，增幅约3.5%,2025-09-01 11:14:58,界面新闻,http://finance.eastmoney.com/a/202509013500904161.html
95,06936,顺丰控股上半年归母净利润同比增长19.37% 拟10派4.6元,上证报中国证券网讯（记者王子霖）8月28日晚间，顺丰控股披露2025年半年度报告。,2025-08-28 20:52:09,上海证券报·中国证券网,http://finance.eastmoney.com/a/202508283498276086.html
96,06936,顺丰控股：2月速运物流业务量同比增长17.74%,3月19日晚间，顺丰控股公告，2025年2月速运物流业务营业收入131.49亿元，同比增长3.81%；业务量9.16亿票,2025-03-19 19:12:13,界面新闻,http://finance.eastmoney.com/a/202503193350202943.html
97,06936,顺丰控股5月实现营收251.13亿元 业务量同比增31.76%,上证报中国证券网讯（记者王子霖）6月19日晚间，顺丰控股发布5月经营数据，水果生鲜销售旺季，叠加电商年中活动促销前置，,2025-06-19 22:10:36,上海证券报·中国证券网,http://finance.eastmoney.com/a/202506193435339554.html
98,06936,顺丰控股：拟配售新H股筹资约29.5亿港元,南方财经6月26日电，顺丰控股公告，公司和配售代理于2025年6月25日（交易时段后）订立了配售协议，假设配售股份全数配售,2025-06-26 08:23:47,南方财经网,http://finance.eastmoney.com/a/202506263440672062.html
99,06936,国信证券发布顺丰控股研报，全年归母净利破百亿，看好盈利能力继续提升的潜力,国信证券04月01日发布研报称，给予顺丰控股（002352.SZ，最新价：43.64元）优于大市评级。,2025-04-01 14:43:15,每日经济新闻,http://finance.eastmoney.com/a/202504013362269531.html
